column_name,dtype,n_unique,avg_length,is_numeric,is_categ,table_name,semantic_type
Type de parking,object,4,9.1,0,1,parkins_mons,
Adresse,object,28,18.1,0,1,parkins_mons,
Communal/prive,object,4,6.1,0,1,parkins_mons,
Nombre de places,int64,28,0.0,1,0,parkins_mons,
Intramuros/Extramuros,object,2,10.0,0,1,parkins_mons,
Zone de tarification,object,2,6.5,0,1,parkins_mons,
Remarques,object,5,38.0,0,1,parkins_mons,
Geometry,object,33,71.6,0,1,parkins_mons,
geo_point_2d,object,33,35.6,0,1,parkins_mons,
id,int64,1000,0.0,1,0,fake_cars_sales,
year,int64,24,0.0,1,0,fake_cars_sales,
make,object,4,4.4,0,1,fake_cars_sales,
model,object,4,5.7,0,1,fake_cars_sales,
engine_size,float64,36,0.0,1,0,fake_cars_sales,
fuel_type,object,4,6.5,0,1,fake_cars_sales,
mileage,int64,997,0.0,1,0,fake_cars_sales,
price,float64,1000,0.0,1,0,fake_cars_sales,
Index,int64,1000,0.0,1,0,product_1000,
Name,object,919,25.8,0,0,product_1000,
Description,object,1000,36.1,0,0,product_1000,
Brand,object,996,16.4,0,0,product_1000,
Category,object,34,14.7,0,1,product_1000,
Price,int64,622,0.0,1,0,product_1000,
Currency,object,1,3.0,0,1,product_1000,
Stock,int64,619,0.0,1,0,product_1000,
EAN,int64,1000,0.0,1,0,product_1000,
Color,object,140,9.0,0,0,product_1000,
Size,object,18,5.5,0,1,product_1000,
Availability,object,6,10.5,0,1,product_1000,
Internal ID,int64,99,0.0,1,0,product_1000,
